Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
London m3,London,1834.??.??,37,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['h3', 'Nbd7\n'], ['Be3', 'Nb6'], ['Bb3', 'c6'], ['O-O', 'Nfd5'], ['Qe2', 'f5'], ['Rae1', 'g5'], ['Bd2', 'Bf6'], ['Ne5', 'Qe8\n'], ['f4', 'g4'], ['hxg4', 'fxg4'], ['f5', 'Qh5'], ['Bc2', 'Qh4'], ['Qe4', 'Kh8'], ['Nxg4', 'Nc4'], ['Nxf6', 'Qxf6\n'], ['Nxd5', 'cxd5'], ['Qf4', 'Nxd2'], ['Qxd2', 'Bd7'], ['Re5', 'Rg8'], ['Rfe1', 'Qh4'], ['R1e2', 'Bb5'], ['Rf2', 'Rg4\n'], ['f6', 'Rxd4'], ['Qe3', 'Rg4'], ['Re7', 'd4'], ['Qe5', 'Rg5'], ['f7+', 'Rxe5'], ['f8=Q+', 'Rxf8'], ['Rxf8+', '']]",1-0
London m3,London,1834.??.??,38,"McDonnell, Alexander","De Labourdonnais, Louis",,,D32,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['Bg5', 'Be6'], ['e3', 'Nc6'], ['Bd3', 'Be7\n'], ['dxc5', 'Bxc5'], ['O-O', 'h6'], ['Bxf6', 'Qxf6'], ['Rc1', 'Bd6'], ['Bb5', 'O-O'], ['Nxd5', 'Qxb2'], ['Rb1', 'Qa3\n'], ['e4', 'Rad8'], ['Nd2', 'a6'], ['Bc4', 'b5'], ['Bb3', 'Nd4'], ['Qh5', 'Nxb3'], ['Nxb3', 'Qxa2'], ['Nd4', 'Qc4\n'], ['Rfd1', 'Bxd5'], ['exd5', 'Rfe8'], ['Rbc1', 'Qa2'], ['Nf5', 'Qe2'], ['Qh3', 'b4'], ['g4', 'a5'], ['Re1', 'Qxe1+\n'], ['Rxe1', 'Rxe1+'], ['Kg2', 'a4'], ['Qh4', 'f6'], ['Qh5', 'Bf8'], ['Qg6', 'Kh8'], ['Nxh6', 'gxh6'], ['Qxf6+', 'Kg8\n'], ['Qxd8', 'a3'], ['Qa5', 'Rd1'], ['Qa4', 'Rd2'], ['d6', 'Bxd6'], ['Qe8+', 'Kg7'], ['Qd7+', 'Kf8'], ['Qf5+', 'Kg7\n'], ['g5', 'Be7'], ['Qe5+', 'Kg6'], ['Qe4+', 'Kf7'], ['Qf4+', 'Kg7'], ['Qxd2', 'hxg5'], ['Qd5', '']]",1-0
London m3,London,1834.??.??,39,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['h3', 'Nbd7\n'], ['Be3', 'Nb6'], ['Bb3', 'c6'], ['O-O', 'Nfd5'], ['Qe2', 'f5'], ['Ne5', 'f4'], ['Bd2', 'g5'], ['Rae1', 'Kg7\n'], ['Nxd5', 'Nxd5'], ['Nxc6', 'bxc6'], ['Bxd5', 'Qxd5'], ['Qxe7+', 'Rf7'], ['Qb4', 'Bf5'], ['Re5', 'Qd7\n'], ['d5', 'cxd5'], ['Qd4', 'Kh6'], ['h4', 'Be6'], ['Rfe1', 'Re8'], ['Rxg5', 'Ref8'], ['Qe5', 'Bg4'], ['Rh5+', 'Bxh5\n'], ['Qg5+', '']]",1-0
London m3,London,1834.??.??,40,"McDonnell, Alexander","De Labourdonnais, Louis",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Nc3', 'gxf3'], ['Qxf3', 'Nc6'], ['d4', 'Nxd4'], ['Bxf7+', 'Kxf7\n'], ['Qh5+', 'Kg7'], ['O-O', 'Ne6'], ['Bxf4', 'Bc5+'], ['Kh1', 'Nf6'], ['Qh6+', 'Kg8'], ['Rf3', 'Bf8'], ['Rg3+', 'Kf7\n'], ['Qh4', 'Nxf4'], ['Qxf4', 'd6'], ['Rf1', 'Be6'], ['Qg5', 'Ke8'], ['Rxf6', 'Qe7'], ['Rgf3', 'c6'], ['Ne2', 'Rg8\n'], ['Qh5+', 'Kd8'], ['Nd4', 'Bg4'], ['Qa5+', 'Kc8'], ['Rf1', 'Bd7'], ['Rf7', 'Qe8'], ['b4', 'b6'], ['Qa6+', 'Kc7\n'], ['Qc4', 'Be7'], ['Nxc6', 'b5'], ['Qxb5', 'Bxc6'], ['Qa5+', 'Kb8'], ['Qf5', 'Bd8'], ['Re1', 'Qe5'], ['Qf3', 'd5\n'], ['b5', 'Bb7'], ['Rxb7+', 'Kxb7'], ['Qf7+', 'Bc7']]",0-1
London m3,London,1834.??.??,41,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Bd6'], ['Nf3', 'O-O'], ['h3', 'Re8+\n'], ['Be3', 'Bf4'], ['Qe2', 'Qe7'], ['O-O', 'Bxe3'], ['fxe3', 'Qxe3+'], ['Qxe3', 'Rxe3'], ['Ne5', 'Be6'], ['Bxe6', 'fxe6\n'], ['Kf2', 'Rxe5'], ['dxe5', 'Nfd7'], ['Nb5', 'Na6'], ['Kg3', 'Nxe5'], ['Rae1', 'Ng6'], ['Rxe6', 'Nc5'], ['Re3', 'c6\n'], ['Nd6', 'b6'], ['h4', 'h6'], ['h5', 'Nf8'], ['Re7', 'Rd8'], ['Nb7', 'Rd3+'], ['Rf3', 'Rd5'], ['Nxc5', 'Rxc5\n'], ['Re8', '']]",1-0
London m3,London,1834.??.??,42,"McDonnell, Alexander","De Labourdonnais, Louis",,,C38,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['d4', 'd6'], ['c3', 'Nc6'], ['Qb3', 'Qe7'], ['Nxg5', 'Qxg5\n'], ['Bxf7+', 'Kf8'], ['Bxg8', 'Rxg8'], ['Bxf4', 'Qg6'], ['Rf1', 'Bf6'], ['Nd2', 'Ke8'], ['O-O-O', 'Be7'], ['e5', 'd5\n'], ['Qxd5', 'Qxg2'], ['Qb3', 'Nd8'], ['d5', 'c6'], ['d6', 'Be6'], ['Nc4', 'Bf8'], ['d7+', 'Bxd7'], ['Nd6+', 'Bxd6\n'], ['exd6', 'Rg6'], ['Bg3', 'Qh3'], ['Qb4', 'Re6'], ['Qd4', 'Nf7'], ['Rf2', 'Qh6+'], ['Kb1', 'Qg6+'], ['Ka1', 'c5\n'], ['Qd2', 'Rf6'], ['Bf4', 'Kf8'], ['Rg2', 'Qh5'], ['Re1', 'Rd8'], ['Qe3', 'Be6'], ['Reg1', 'Ke8'], ['Bg5', 'Rxd6\n'], ['Qg3', 'Rf3'], ['Qe1', 'Rfd3'], ['Bc1', 'Rd1'], ['Rg8+', 'Kd7'], ['Qe4', 'Qd5'], ['Qa4+', 'Qc6'], ['Qxa7', 'Rxg1\n'], ['Rxg1', 'Qa6'], ['Qxa6', 'Rxa6'], ['a3', 'Bb3'], ['Kb1', 'Rf6'], ['Rg2', 'Rf1'], ['Rg3', 'c4'], ['Rg7', 'Ke6\n'], ['Rxh7', 'Ne5'], ['Rh6+', 'Kd7'], ['Rh7+', 'Kc6'], ['Rh6+', 'Kb5'], ['Rh5', 'Re1'], ['Rg5', 'Ka4'], ['Rg3', 'Nd3\n'], ['Rxd3', 'cxd3'], ['h4', 'd2']]",0-1
London m3,London,1834.??.??,43,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Bd6'], ['Nf3', 'O-O'], ['h3', 'Re8+\n'], ['Be3', 'Nc6'], ['O-O', 'h6'], ['a3', 'Bf5'], ['g4', 'Bxg4'], ['hxg4', 'Nxg4'], ['Qd3', 'Qf6'], ['Kg2', 'Ne7\n'], ['Ne4', 'Qg6'], ['Ng3', 'Nxe3+'], ['Qxe3', 'Nf5'], ['Qd3', 'Bxg3'], ['fxg3', 'Qxg3+'], ['Kh1', 'Ne3\n'], ['Bxf7+', 'Kh8'], ['Qg6', 'Nxf1'], ['Rxf1', 'Qh3+'], ['Kg1', 'Re3'], ['Rf2', 'Rxf3'], ['Rg2', 'Rxf7\n'], ['Qxf7', 'Qe3+'], ['Qf2', 'Qxf2+'], ['Rxf2', 'Rd8'], ['Rf4', 'Rd7'], ['Kf2', 'Kh7'], ['Kf3', 'g5'], ['Rf6', 'Kg7\n'], ['Re6', 'Rxd4'], ['Re7+', 'Kg6'], ['Rxc7', 'Rd3+'], ['Ke4', 'Rb3'], ['Rc2', 'h5'], ['Rd2', 'g4'], ['Kf4', 'Rf3+\n'], ['Ke5', 'Kg5'], ['Rd7', 'Rb3'], ['Rd2', 'g3'], ['Rd8', 'Kg4'], ['Rg8+', 'Kh3'], ['Kf4', 'h4']]",0-1
London m3,London,1834.??.??,44,"McDonnell, Alexander","De Labourdonnais, Louis",,,C38,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['d4', 'd6'], ['c3', 'h6'], ['Na3', 'Nc6'], ['Bd2', 'Qe7\n'], ['O-O', 'Bd7'], ['b4', 'O-O-O'], ['Bd3', 'g4'], ['Ne1', 'f3'], ['gxf3', 'Nf6'], ['b5', 'Nb8'], ['Nac2', 'Rdg8\n'], ['Kh1', 'h5'], ['Ne3', 'gxf3'], ['Qxf3', 'Bg4'], ['Qf4', 'Nbd7'], ['Nf5', 'Qe6'], ['Nf3', 'Bxf3+'], ['Qxf3', 'Ng4\n'], ['a4', 'Bh6'], ['Bxh6', 'Nxh6'], ['a5', 'Nxf5'], ['exf5', 'Qb3'], ['a6', 'd5'], ['c4', 'Nf6'], ['axb7+', 'Kb8\n'], ['c5', 'Ng4'], ['b6', 'axb6'], ['c6', '']]",1-0
London m3,London,1834.??.??,45,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Bd6'], ['Nf3', 'Nc6'], ['O-O', 'O-O\n'], ['h3', 'h6'], ['a3', 'Bf5'], ['g4', 'Nxg4'], ['hxg4', 'Bxg4'], ['Be2', 'Bxf3'], ['Bxf3', 'Qh4'], ['Re1', 'Nxd4\n'], ['Ne4', 'Bh2+'], ['Kf1', 'Rad8'], ['Be3', 'Nf5'], ['Qc2', 'Qh3+'], ['Bg2', 'Qg4'], ['f3', 'Qg6'], ['Bf2', 'Ne7\n'], ['Rad1', 'Nd5'], ['Bc5', 'Qc6'], ['Qb3', 'Nf4'], ['Bxf8', 'Qa6+'], ['Kf2', 'Rxd1'], ['Bf1', 'Bg1+'], ['Kxg1', 'Rxe1\n'], ['Nd2', 'Qe2']]",0-1
London m3,London,1834.??.??,46,"McDonnell, Alexander","De Labourdonnais, Louis",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['d4', 'd6'], ['Nd5', 'Kd8'], ['Be2', 'Nf6\n'], ['Nxf6', 'Bxf6'], ['e5', 'Be7'], ['Qd3', 'Nc6'], ['c3', 'Bd7'], ['g3', 'Qh6'], ['exd6', 'Bxd6'], ['h4', 'g4\n'], ['Bd1', 'Qf6'], ['Ke1', 'Qe7+'], ['Kf2', 'Re8'], ['gxf4', 'Qe1+'], ['Kg2', 'Qe4+'], ['Qxe4', 'Rxe4'], ['Bc2', 'Re8\n'], ['Bxh7', 'Be6'], ['Kg3', 'Bd5'], ['Rh2', 'Re1'], ['Ne2', 'Bc4'], ['d5', 'Ne7'], ['Nd4', 'Nxd5'], ['h5', 'Rg1+\n'], ['Kf2', 'Rf1+'], ['Kg3', 'Nxf4'], ['Kxg4', 'Kd7'], ['b3', 'Be6+'], ['Nxe6', 'Nxe6'], ['Re2', 'Rh8'], ['Be4', 'Rg8+\n'], ['Kh4', 'Be7+'], ['Kh3', 'Bd6'], ['h6', 'Rxc1'], ['h7', 'Rxc3+'], ['Kh4', 'Be7+'], ['Kh5', 'Rh3+']]",0-1
London m4,London,1834.??.??,47,"McDonnell, Alexander","De Labourdonnais, Louis",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['c3', 'Qe7'], ['Nf3', 'd6'], ['O-O', 'Bb6'], ['d4', 'Nf6'], ['Na3', 'Bg4'], ['Nc2', 'Nbd7\n'], ['Qd3', 'd5'], ['exd5', 'e4'], ['Qd2', 'exf3'], ['Re1', 'Ne4'], ['Qf4', 'f5'], ['gxf3', 'g5'], ['Qe3', 'Ne5\n'], ['Bb5+', 'c6'], ['fxg4', 'Nxg4'], ['Qe2', 'cxb5'], ['f3', 'Ngf6'], ['fxe4', 'Nxe4'], ['Qxb5+', 'Qd7\n'], ['Qxd7+', 'Kxd7'], ['c4', 'Rae8'], ['c5', 'Bd8'], ['d6', 'f4'], ['b4', 'Rhf8'], ['Rf1', 'h5'], ['Na3', 'Bf6\n'], ['Bb2', 'g4'], ['Nc4', 'f3'], ['Ne5+', 'Bxe5'], ['dxe5', 'h4'], ['Rad1', 'f2+'], ['Kh1', 'h3'], ['Rd3', 'Rg8\n'], ['b5', 'g3'], ['hxg3', 'Rxg3'], ['Rd4', 'Reg8'], ['e6+', 'Kd8'], ['Rdd1', 'h2'], ['e7+', 'Kd7'], ['c6+', 'bxc6\n'], ['bxc6+', 'Kxc6'], ['e8=Q+', 'Rxe8'], ['Kxh2', 'Re6'], ['Rc1+', 'Kb5'], ['a4+', 'Kb4'], ['Bc3+', 'Rxc3\n'], ['Rxc3', 'Kxc3'], ['d7', 'Rd6'], ['Kg2', 'Rxd7'], ['Rc1+', 'Kd3'], ['Kf1', 'Ke3']]",0-1
London m4,London,1834.??.??,48,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Bd6'], ['Nf3', 'O-O'], ['h3', 'Nc6\n'], ['O-O', 'h6'], ['Qd3', 'Na5'], ['Bb5', 'a6'], ['Ba4', 'c5'], ['Bc2', 'c4'], ['Qe2', 'b5'], ['Ne4', 'Bb7'], ['Bd2', 'Nxe4\n'], ['Bxe4', 'Re8'], ['Ne5', 'Bxe5'], ['dxe5', 'Bxe4'], ['Bxa5', 'Qd5'], ['f4', 'Re6'], ['Rad1', 'Qc6'], ['Rf2', 'Rae8\n'], ['Bc3', 'f5'], ['Kh2', 'Kh7'], ['g4', 'g6'], ['Qe3', 'Bd3'], ['Rg2', 'Be4'], ['Rg3', 'Qc7'], ['Rd4', 'Rf8\n'], ['Rd6', 'Rfe8'], ['Qd4', 'R8e7'], ['h4', 'Bd3'], ['h5', 'fxg4'], ['hxg6+', 'Bxg6'], ['Rxg4', 'Bf5'], ['Rg2', 'Qb7\n'], ['Rxe6', 'Rxe6'], ['Rd2', 'Qf7'], ['Kg1', 'Rg6+'], ['Rg2', 'Bh3'], ['Rxg6', 'Qxg6+'], ['Kf2', 'Qg2+\n'], ['Ke1', 'Qh1+'], ['Kd2', 'Bg4'], ['Kc2', 'Qg2+'], ['Bd2', 'a5'], ['a3', 'Bf5+'], ['Kc3', 'Qf3+'], ['Qe3', 'Qd5\n'], ['Qa7+', 'Kg6'], ['Qb6+', 'Kf7'], ['Qa7+', 'Bd7'], ['Kc2', 'Qd3+'], ['Kc1', 'a4'], ['Be1', 'Qf5'], ['Qf2', 'Qg4\n'], ['Kd2', 'h5'], ['Ke3', 'Kg6'], ['Qc2+', 'Bf5'], ['Qe2', 'Qg1+'], ['Qf2', 'Qxf2+'], ['Kxf2', 'h4'], ['Kf3', 'Kh5\n'], ['Bd2', 'Be6'], ['Kg2', 'Kg4'], ['Bc1', 'h3+'], ['Kh2', 'Kf3'], ['Bd2', 'Ke2'], ['Bc3', 'Kd3'], ['Kg3', 'Kc2\n'], ['Kh2', 'Kb3'], ['Kg3', 'b4'], ['axb4', 'a3'], ['bxa3', 'Kxc3'], ['b5', 'Kd2'], ['b6', 'Bd5'], ['e6', 'c3\n'], ['e7', 'c2'], ['e8=Q', 'c1=Q'], ['Kxh3', 'Qh1+'], ['Kg4', 'Bf3+'], ['Kf5', 'Qb1+'], ['Kg5', 'Qg1+'], ['Kf6', 'Qxb6+\n'], ['Qe6', 'Qd8+'], ['Kg6', 'Bd5'], ['Qf6', 'Qg8+'], ['Kh6', 'Ke2'], ['a4', 'Be4'], ['a5', 'Qh7+'], ['Kg5', 'Qg8+\n'], ['Kh6', '']]",1/2-1/2
London m4,London,1834.??.??,49,"De Labourdonnais, Louis","McDonnell, Alexander",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['Nf3', 'd6'], ['c3', 'Qe7'], ['O-O', 'Nf6'], ['d4', 'Bb6'], ['Bg5', 'c6'], ['Nbd2', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Bc7'], ['Bb3', 'Bg4'], ['Qe1', 'Nbd7'], ['Qe3', 'Nh7'], ['h3', 'Bxf3'], ['Qxf3', 'Nhf8\n'], ['Nc4', 'h5'], ['Ne3', 'f6'], ['Nf5', 'Qh7'], ['h4', 'Ng6'], ['Rfd1', 'O-O-O'], ['a4', 'Nf4'], ['a5', 'd5\n'], ['Bc2', 'Qf7'], ['Bxf4', 'g4'], ['Qe2', 'exf4'], ['a6', 'b6'], ['exd5', 'Rhe8'], ['Qc4', 'Qxd5'], ['Qxd5', 'cxd5\n'], ['Re1', 'Kb8'], ['Ne7', 'Ne5'], ['dxe5', 'Rxe7'], ['exf6', 'Rf7'], ['Re6', 'Rd6'], ['Rae1', 'Rxe6'], ['Rxe6', 'Bd8\n'], ['Bg6', 'Rxf6'], ['Rxf6', 'Bxf6'], ['g3', 'fxg3'], ['fxg3', 'd4'], ['c4', 'Kc7'], ['Bxh5', 'd3'], ['b3', 'Kd6\n'], ['Bxg4', 'Kc5'], ['Bd1', 'Kb4'], ['Kf2', 'Kc3'], ['Ke3', 'Bd4+'], ['Ke4', 'Bf2'], ['Kf4', 'Kd2'], ['Bf3', 'Kc3\n'], ['Bd1', 'Kd2'], ['Bg4', 'Kc3'], ['Kf3', 'Bd4'], ['Bf5', 'd2'], ['Ke2', 'Bf2'], ['h5', 'Bxg3'], ['Kd1', 'Bf4\n'], ['Be6', 'Bh6'], ['Bf5', 'Bg5']]",1/2-1/2
London m4,London,1834.??.??,50,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e4', 'e5'], ['d5', 'f5'], ['Nc3', 'Nf6'], ['Bxc4', 'Bc5'], ['Nf3', 'Qe7'], ['Bg5', 'Bxf2+\n'], ['Kf1', 'Bb6'], ['Qe2', 'f4'], ['Rd1', 'Bg4'], ['d6', 'cxd6'], ['Nd5', 'Nxd5'], ['Bxe7', 'Ne3+'], ['Ke1', 'Kxe7\n'], ['Qd3', 'Rd8'], ['Rd2', 'Nc6'], ['b3', 'Ba5'], ['a3', 'Rac8'], ['Rg1', 'b5'], ['Bxb5', 'Bxf3'], ['gxf3', 'Nd4\n'], ['Bc4', 'Nxf3+'], ['Kf2', 'Nxd2'], ['Rxg7+', 'Kf6'], ['Rf7+', 'Kg6'], ['Rb7', 'Ndxc4'], ['bxc4', 'Rxc4\n'], ['Qb1', 'Bb6'], ['Kf3', 'Rc3'], ['Qa2', 'Nc4+'], ['Kg4', 'Rg8'], ['Rxb6', 'axb6'], ['Kh4', 'Kf6'], ['Qe2', 'Rg6\n'], ['Qh5', 'Ne3']]",0-1
London m4,London,1834.??.??,51,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Be7'], ['d4', 'd6'], ['Qb3', 'Na5'], ['Qa4+', 'c6\n'], ['Bd3', 'b5'], ['Qc2', 'Bf6'], ['dxe5', 'dxe5'], ['O-O', 'Ne7'], ['Ba3', 'O-O'], ['Nbd2', 'Be6'], ['Rad1', 'Qc7\n'], ['Nb3', 'Nc4'], ['Bc1', 'Rfd8'], ['h3', 'c5'], ['Nh2', 'Ng6'], ['Ng4', 'Nd6'], ['Be2', 'Be7'], ['f4', 'exf4\n'], ['Bxf4', 'Nxf4'], ['Rxf4', 'Nc4'], ['Rf3', 'Bxg4'], ['hxg4', 'Ne5'], ['Rh3', 'Rxd1+'], ['Qxd1', 'Rd8\n'], ['Qf1', 'c4'], ['Nd4', 'Bc5'], ['Qf5', 'g6'], ['Qf2', 'Qe7'], ['Kh1', 'b4'], ['Qe3', 'bxc3'], ['Qh6', 'f6\n'], ['Ne6', 'Qxe6'], ['Qxh7+', 'Kf8'], ['Qc7', 'Be7'], ['Rxc3', 'Qb6'], ['Qxb6', 'axb6'], ['a4', 'Bb4'], ['Rc1', 'c3\n'], ['Kh2', 'Rd2']]",0-1
London m4,London,1834.??.??,52,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bd6'], ['d4', 'h6'], ['O-O', 'g5'], ['Nxe5', 'Bxe5\n'], ['dxe5', 'Nxe5'], ['Bb3', 'g4'], ['Bf4', 'Ng6'], ['Qxg4', 'd6'], ['Qf3', 'Qf6'], ['Bg3', 'Qxf3'], ['gxf3', 'f5\n'], ['f4', 'fxe4'], ['Nd2', 'Nf6'], ['Nxe4', 'Nxe4'], ['Rfe1', 'Bg4'], ['Rxe4+', 'Kd7'], ['Rae1', 'Raf8\n'], ['Rb4', 'b6'], ['Ba4+', 'c6'], ['f5', 'Bxf5'], ['Rd4', 'Rf6'], ['Red1', 'b5'], ['Rxd6+', 'Rxd6'], ['Rxd6+', 'Ke7\n'], ['Bb3', 'Rc8'], ['h4', 'Nxh4'], ['Rxh6', 'Nf3+'], ['Kg2', 'Ne1+'], ['Kf1', 'Nd3'], ['Bc2', 'c5'], ['Rh5', 'Be4\n'], ['f3', 'Rf8'], ['Bxd3', 'Rxf3+'], ['Bf2', 'Bxd3+'], ['Kg2', 'Rf5'], ['Bxc5+', 'Kf7'], ['Rxf5+', 'Bxf5']]",1/2-1/2
London m4,London,1834.??.??,53,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bd6'], ['O-O', 'h6'], ['d4', 'Nf6'], ['dxe5', 'Bxe5\n'], ['Nxe5', 'Nxe5'], ['Bb3', 'Qe7'], ['f4', 'Qc5+'], ['Kh1', 'Neg4'], ['Qe2', 'Qh5'], ['h3', 'O-O'], ['e5', 'Re8\n'], ['Qf3', 'Qh4'], ['exf6', 'd6'], ['Na3', 'Re1'], ['Bd2', 'Nf2+'], ['Kh2', 'Bxh3'], ['Qxf2', 'Qxf2'], ['Rxf2', 'Rxa1\n'], ['gxh3', 'g6'], ['Rg2', 'Kf8'], ['f5', 'g5'], ['h4', '']]",1-0
London m4,London,1834.??.??,54,"McDonnell, Alexander","De Labourdonnais, Louis",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Nc3', 'gxf3'], ['Qxf3', 'Bh6'], ['d4', 'Nc6'], ['O-O', 'Nxd4\n'], ['Bxf7+', 'Kxf7'], ['Qh5+', 'Kg7'], ['Bxf4', 'Bxf4'], ['Rxf4', 'Nf6'], ['Qg5+', 'Kf7'], ['Raf1', 'Ke8\n'], ['Rxf6', 'Qe7'], ['Nd5', 'Qc5'], ['Kh1', 'Ne6'], ['Rxe6+', 'dxe6'], ['Nf6+', '']]",1-0
